show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s15,Movie,Hollow Ground,Martin Scorsese,"Viola Davis, Ana de Armas, Natalie Portman, Ryan Gosling",Canada,"September 02, 2021",2021,NR,115 min,Comedy,A detective with a troubled past investigates a series of mysterious disappearances.
s16,TV Show,Mindhunter,Ava DuVernay,"Brad Pitt, Idris Elba, Cate Blanchett, Oscar Isaac",Nigeria,"April 28, 2010",2010,NR,7 Seasons,Thrillers,Five strangers are brought together by fate in a city that never sleeps.
s17,Movie,Ocean's Edge,Kathryn Bigelow,"Viola Davis, Anthony Mackie, Ana de Armas, Meryl Streep",,"August 12, 2020",2020,R,144 min,Reality TV,Five strangers are brought together by fate in a city that never sleeps.
s18,Movie,The Redemption Arc,Chloe Zhao,"Idris Elba, Leonardo DiCaprio, Meryl Streep, Tom Hanks, Denzel Washington",India,"June 14, 2015",2015,TV-Y7,175 min,"Romantic Movies, Anime Features, Comedy","Based on true events, this documentary exposes the hidden world behind the headlines."
s18,Movie,The Redemption Arc,Chloe Zhao,"Idris Elba, Leonardo DiCaprio, Meryl Streep, Tom Hanks, Denzel Washington",India,"June 14, 2015",2015,TV-Y7,175 min,"Romantic Movies, Anime Features, Comedy","Based on true events, this documentary exposes the hidden world behind the headlines."
s19,Movie,Starfall,,"Ana de Armas, Brad Pitt, Meryl Streep",Thailand,"May 17, 2019",2019,PG,149 min,"Teen TV Shows, Horror","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s20,TV Show,Ginny & Georgia,Spike Lee,"Anthony Mackie, Ryan Gosling, Florence Pugh, Leonardo DiCaprio",Denmark,"August 22, 2016",2016,TV-Y,3 Seasons,"Action & Adventure, International Movies, Music & Musicals","Set against the backdrop of history, a love story that transcends time and borders."
s21,TV Show,Shadow and Bone,,,Argentina,"July 21, 2006",2006,UR,8 Seasons,"Children & Family Movies, Horror","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s22,TV Show,Warrior Nun,Denis Villeneuve,"Viola Davis, Anthony Mackie, Ana de Armas",,"August 22, 2016",2016,PG,8 Seasons,"Music & Musicals, Science & Nature TV, Teen TV Shows",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s23,TV Show,Dark,Steven Spielberg,"Ryan Gosling, Anthony Mackie, Oscar Isaac",Spain,"May 11, 2013",2013,NR,3 Seasons,Children & Family Movies,"Based on true events, this documentary exposes the hidden world behind the headlines."
s24,TV Show,Sweet Tooth,,"Idris Elba, Ryan Gosling, Natalie Portman, Brad Pitt, Leonardo DiCaprio",Denmark,"October 13, 2021",2021,G,5 Seasons,"Science & Nature TV, Teen TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s25,TV Show,Money Heist,Steven Spielberg,"Lupita Nyong'o, Leonardo DiCaprio, Brad Pitt, Viola Davis, Idris Elba",Germany,"September 01, 2022",2022,PG-13,2 Seasons,"Science & Nature TV, Horror, Sports Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s26,Movie,Crimson Peak 2,Ryan Coogler,"Anthony Mackie, Tom Hanks, Lupita Nyong'o, Brad Pitt",United States,"June 08, 2022",2022,G,85 min,Korean TV Shows,"In a dystopian future, one person dares to challenge the system and ignite a revolution."
s27,Movie,Raw Power,Alfonso Cuarón,"Ryan Gosling, Anthony Mackie, Viola Davis, Denzel Washington, Zendaya",Canada,,2022,PG-13,176 min,"Reality TV, Romantic Movies","When secrets from the past resurface, a family must confront the truth before it destroys them."
s28,TV Show,The Circle,,,Philippines,"January 28, 2018",2018,TV-PG,2 Seasons,"Stand-Up Comedy, Sports Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s29,TV Show,Shadow and Bone,Steven Spielberg,"Oscar Isaac, Brad Pitt, Florence Pugh, Ana de Armas, Zendaya",United Kingdom,"August 19, 2013",2013,TV-G,6 Seasons,Independent Movies,Five strangers are brought together by fate in a city that never sleeps.
s30,Movie,The Phoenix Project 2,Ryan Coogler,"Ryan Gosling, Lupita Nyong'o, Leonardo DiCaprio, Oscar Isaac",Nigeria,"August 21, 2013",2013,UR,97 min,Reality TV,"Love, loss, and redemption collide in this emotionally charged journey across three continents."
s31,Movie,Broken Wings,Wes Anderson,"Florence Pugh, Ana de Armas, Ryan Gosling, Viola Davis",Brazil,"June 04, 2019",2019,PG,154 min,"Anime Features, British TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s32,TV Show,The Circle,Jordan Peele,,Spain,"December 05, 2017",2017,G,2 Seasons,British TV Shows,A detective with a troubled past investigates a series of mysterious disappearances.
s33,Movie,Fire & Ice,Ava DuVernay,"Lupita Nyong'o, Meryl Streep, Florence Pugh, Oscar Isaac",,"October 10, 2010",2010,G,157 min,"Korean TV Shows, Children & Family Movies",A comedy that brilliantly captures the chaos and joy of modern family life.
s34,TV Show,Ozark,Sofia Coppola,"Zendaya, Lupita Nyong'o, Oscar Isaac, Leonardo DiCaprio, Florence Pugh",Japan,"March 08, 2019",2019,NC-17,3 Seasons,Science & Nature TV,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s35,Movie,Ocean's Edge,,"Zendaya, Ana de Armas, Florence Pugh, Natalie Portman",Spain,"April 14, 2018",2018,TV-MA,176 min,"Horror, Action & Adventure","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s36,Movie,Velvet Underground,Sofia Coppola,"Oscar Isaac, Meryl Streep, Natalie Portman, Ana de Armas",Spain,"October 02, 2016",2016,TV-G,63 min,Children & Family Movies,"Set against the backdrop of history, a love story that transcends time and borders."
s37,Movie,Starfall,Steven Spielberg,"Viola Davis, Natalie Portman",Spain,"August 03, 2016",2016,TV-14,145 min,Thrillers,Five strangers are brought together by fate in a city that never sleeps.
s38,Movie,Steel Hearts,David Fincher,"Oscar Isaac, Meryl Streep",Australia,"September 15, 2019",2019,G,139 min,"Sports Movies, Comedy","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s39,Movie,The Forgotten Path,,"Cate Blanchett, Leonardo DiCaprio, Idris Elba, Zendaya, Lupita Nyong'o",United States,"February 15, 2012",2012,PG,151 min,"Music & Musicals, Anime Features","Based on true events, this documentary exposes the hidden world behind the headlines."
s40,TV Show,Stranger Things,Guillermo del Toro,"Anthony Mackie, Cate Blanchett, Zendaya",United Kingdom,"June 26, 2021",2021,UR,5 Seasons,"International Movies, British TV Shows, Independent Movies","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s41,Movie,The Forgotten Path,Guillermo del Toro,"Oscar Isaac, Lupita Nyong'o, Viola Davis, Cate Blanchett, Ana de Armas",Nigeria,"July 13, 2016",2016,NR,64 min,Music & Musicals,"Set against the backdrop of history, a love story that transcends time and borders."
s42,Movie,The Iron Curtain 4,Greta Gerwig,"Leonardo DiCaprio, Ana de Armas, Denzel Washington, Brad Pitt, Idris Elba",,"December 13, 2014",2014,NC-17,108 min,"Independent Movies, Teen TV Shows","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s43,Movie,The Silent House,Jordan Peele,"Denzel Washington, Brad Pitt, Meryl Streep",Canada,"January 02, 2014",2014,NR,107 min,"Horror, Children & Family Movies",A comedy that brilliantly captures the chaos and joy of modern family life.
s44,Movie,Whispering Walls 4,Spike Lee,"Anthony Mackie, Zendaya",Denmark,"August 09, 2018",2018,TV-G,129 min,Action & Adventure,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s45,TV Show,Cobra Kai,Denis Villeneuve,"Oscar Isaac, Florence Pugh, Tom Hanks, Cate Blanchett",Canada,"May 23, 2015",2015,TV-14,5 Seasons,British TV Shows,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s46,TV Show,Outer Banks,Jordan Peele,"Ana de Armas, Cate Blanchett, Idris Elba",Philippines,,2018,PG-13,1 Season,"Stand-Up Comedy, Horror, Action & Adventure",A detective with a troubled past investigates a series of mysterious disappearances.
s47,Movie,Ocean's Edge 4,Guillermo del Toro,"Ryan Gosling, Florence Pugh, Denzel Washington, Tom Hanks",Brazil,"August 03, 2020",2020,TV-Y,146 min,"Teen TV Shows, Stand-Up Comedy","When secrets from the past resurface, a family must confront the truth before it destroys them."
s48,Movie,Ocean's Edge,Taika Waititi,"Ryan Gosling, Zendaya, Brad Pitt, Idris Elba",South Korea,"September 11, 2021",2021,TV-14,141 min,"International Movies, Science & Nature TV","When secrets from the past resurface, a family must confront the truth before it destroys them."
s49,TV Show,The Crown,Barry Jenkins,"Cate Blanchett, Lupita Nyong'o",Turkey,"September 14, 2019",2019,NR,7 Seasons,"Documentaries, Independent Movies, Science & Nature TV",A detective with a troubled past investigates a series of mysterious disappearances.
s50,Movie,Desert Rain 2,Kathryn Bigelow,"Cate Blanchett, Idris Elba, Viola Davis, Ryan Gosling",India,"August 03, 2022",2022,R,160 min,"Children & Family Movies, Horror","Set against the backdrop of history, a love story that transcends time and borders."
s51,TV Show,Squid Game,Sofia Coppola,"Natalie Portman, Viola Davis, Anthony Mackie",United States,"September 09, 2022",2022,PG-13,1 Season,Drama,Five strangers are brought together by fate in a city that never sleeps.
s52,Movie,Northern Lights,Spike Lee,"Meryl Streep, Denzel Washington, Ana de Armas, Brad Pitt",Argentina,"February 15, 2017",2017,TV-Y,160 min,"Music & Musicals, International Movies, Sports Movies","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s53,Movie,Hollow Ground,,"Lupita Nyong'o, Ana de Armas",,"March 09, 2010",2010,TV-14,101 min,"Korean TV Shows, Music & Musicals",A detective with a troubled past investigates a series of mysterious disappearances.
s54,Movie,Parallel Lives,,"Brad Pitt, Lupita Nyong'o",Mexico,"February 11, 2016",2016,TV-Y7,79 min,"Independent Movies, Action & Adventure, British TV Shows","When secrets from the past resurface, a family must confront the truth before it destroys them."
s55,Movie,Desert Rain,Martin Scorsese,"Idris Elba, Lupita Nyong'o",Philippines,"December 02, 2021",2021,TV-Y7,73 min,"Music & Musicals, Romantic Movies, Horror",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s56,Movie,The Ghost Network,Chloe Zhao,"Ryan Gosling, Zendaya",Norway,,2018,TV-14,94 min,"International Movies, Crime TV Shows, Stand-Up Comedy","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s57,Movie,Desert Rain,Bong Joon-ho,"Leonardo DiCaprio, Meryl Streep, Ana de Armas",Turkey,"June 25, 2014",2014,TV-Y,66 min,Thrillers,"Set against the backdrop of history, a love story that transcends time and borders."
s58,Movie,Quantum Leap 2,Denis Villeneuve,"Oscar Isaac, Brad Pitt, Tom Hanks, Cate Blanchett, Ryan Gosling",Brazil,,2017,TV-14,60 min,International Movies,"Love, loss, and redemption collide in this emotionally charged journey across three continents."
s59,TV Show,Cobra Kai,Greta Gerwig,"Lupita Nyong'o, Ana de Armas",Norway,"November 26, 2017",2017,TV-PG,1 Season,"Drama, Sports Movies","When secrets from the past resurface, a family must confront the truth before it destroys them."
s60,Movie,Quantum Leap,,"Zendaya, Meryl Streep, Brad Pitt, Leonardo DiCaprio, Viola Davis",Turkey,"February 08, 2007",2007,TV-Y,110 min,"Crime TV Shows, Children & Family Movies",Five strangers are brought together by fate in a city that never sleeps.
s61,Movie,Beyond the Horizon,Wes Anderson,"Ana de Armas, Viola Davis, Lupita Nyong'o",France,"March 20, 2013",2013,PG-13,158 min,"Independent Movies, Sports Movies, British TV Shows","Set against the backdrop of history, a love story that transcends time and borders."
s62,TV Show,Bridgerton,,"Tom Hanks, Natalie Portman, Meryl Streep, Oscar Isaac",Spain,"May 15, 2017",2017,TV-Y,6 Seasons,"Action & Adventure, Korean TV Shows","Set against the backdrop of history, a love story that transcends time and borders."
s63,Movie,Crimson Peak,Ava DuVernay,"Brad Pitt, Viola Davis, Zendaya, Natalie Portman, Ryan Gosling",,"February 17, 2022",2022,TV-Y,116 min,"Music & Musicals, Korean TV Shows","Set against the backdrop of history, a love story that transcends time and borders."
s64,Movie,The Iron Curtain,Denis Villeneuve,"Meryl Streep, Anthony Mackie, Idris Elba, Florence Pugh",Norway,"November 20, 2013",2013,NC-17,144 min,Stand-Up Comedy,A detective with a troubled past investigates a series of mysterious disappearances.
s65,Movie,Code Red,Park Chan-wook,"Zendaya, Ryan Gosling",France,"September 03, 2022",2022,NR,62 min,"International Movies, Thrillers","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s66,TV Show,Shadow and Bone,Martin Scorsese,"Denzel Washington, Tom Hanks, Florence Pugh",Norway,"June 25, 2004",2004,TV-PG,3 Seasons,Thrillers,"Set against the backdrop of history, a love story that transcends time and borders."
s67,Movie,Paper Trail 3,Denis Villeneuve,"Natalie Portman, Lupita Nyong'o, Zendaya, Tom Hanks",South Korea,"August 27, 2022",2022,NC-17,158 min,"Reality TV, Music & Musicals",A comedy that brilliantly captures the chaos and joy of modern family life.
s68,Movie,The Ghost Network,Park Chan-wook,"Ryan Gosling, Leonardo DiCaprio, Idris Elba",Canada,"May 03, 2020",2020,TV-PG,125 min,Science & Nature TV,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s69,Movie,The Iron Curtain 2,Chloe Zhao,"Florence Pugh, Leonardo DiCaprio",Australia,"June 04, 2012",2012,TV-Y,64 min,"Independent Movies, Horror",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s70,Movie,Northern Lights,,"Brad Pitt, Florence Pugh, Denzel Washington, Ryan Gosling",Nigeria,"February 02, 2012",2012,NC-17,74 min,"Korean TV Shows, Teen TV Shows","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s71,Movie,The Redemption Arc,Jordan Peele,"Leonardo DiCaprio, Zendaya, Viola Davis, Cate Blanchett, Oscar Isaac",United Kingdom,"September 18, 2006",2006,TV-Y,109 min,"Comedy, Reality TV",Five strangers are brought together by fate in a city that never sleeps.
s72,Movie,Whispering Walls 3,Chloe Zhao,"Cate Blanchett, Anthony Mackie, Zendaya",India,"March 27, 2020",2020,TV-Y,140 min,Horror,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s73,TV Show,You,,"Meryl Streep, Anthony Mackie, Cate Blanchett",Brazil,"January 25, 2016",2016,TV-PG,6 Seasons,Crime TV Shows,A detective with a troubled past investigates a series of mysterious disappearances.
s74,Movie,Broken Wings,Taika Waititi,"Idris Elba, Denzel Washington, Natalie Portman, Ana de Armas, Florence Pugh",Spain,"July 20, 2016",2016,NR,101 min,Action & Adventure,Five strangers are brought together by fate in a city that never sleeps.
s75,Movie,Quantum Leap,Denis Villeneuve,,Italy,"January 03, 2013",2013,TV-Y7,162 min,"Thrillers, Drama, Horror","Set against the backdrop of history, a love story that transcends time and borders."
s76,Movie,Velvet Underground,Kathryn Bigelow,"Ana de Armas, Brad Pitt, Zendaya, Leonardo DiCaprio",Italy,"March 17, 2007",2007,UR,91 min,Drama,"In a dystopian future, one person dares to challenge the system and ignite a revolution."
s77,Movie,Velvet Underground,Steven Spielberg,"Oscar Isaac, Cate Blanchett, Zendaya, Tom Hanks",Japan,"December 15, 2016",2016,PG,150 min,Teen TV Shows,A comedy that brilliantly captures the chaos and joy of modern family life.
s78,Movie,The Last Dance,,"Ana de Armas, Ryan Gosling, Cate Blanchett",France,"September 19, 2003",2003,TV-G,173 min,Action & Adventure,A detective with a troubled past investigates a series of mysterious disappearances.
s79,TV Show,Emily in Paris,Denis Villeneuve,"Denzel Washington, Lupita Nyong'o, Viola Davis, Idris Elba, Meryl Streep",Italy,"October 06, 2017",2017,UR,7 Seasons,"Comedy, Documentaries, Music & Musicals","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s80,Movie,Hollow Ground 2,Kathryn Bigelow,"Zendaya, Florence Pugh, Meryl Streep, Tom Hanks",Spain,"February 17, 2018",2018,NC-17,81 min,"Korean TV Shows, Crime TV Shows, Comedy","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems."
s81,TV Show,Ozark,Steven Spielberg,,Norway,"November 13, 2016",2016,NC-17,1 Season,Sports Movies,"Based on true events, this documentary exposes the hidden world behind the headlines."
s82,Movie,Shattered Mirror 4,Ryan Coogler,"Ana de Armas, Brad Pitt, Denzel Washington, Anthony Mackie",Mexico,"April 05, 2013",2013,PG,113 min,Thrillers,Five strangers are brought together by fate in a city that never sleeps.
s83,TV Show,Ginny & Georgia,Spike Lee,"Oscar Isaac, Natalie Portman, Tom Hanks, Lupita Nyong'o, Leonardo DiCaprio",Turkey,"January 02, 2018",2018,R,5 Seasons,"Drama, Documentaries, Science & Nature TV","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s84,TV Show,Squid Game,Chloe Zhao,"Anthony Mackie, Leonardo DiCaprio",Norway,"September 09, 2017",2017,TV-Y7,3 Seasons,Reality TV,Five strangers are brought together by fate in a city that never sleeps.
s85,Movie,Northern Lights,Martin Scorsese,,Mexico,"October 17, 2016",2016,TV-PG,110 min,"International Movies, British TV Shows, Crime TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s86,Movie,Hollow Ground,Jordan Peele,"Leonardo DiCaprio, Viola Davis, Oscar Isaac, Idris Elba, Meryl Streep",Indonesia,"November 26, 2016",2016,,152 min,British TV Shows,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s87,Movie,Northern Lights 4,David Fincher,"Natalie Portman, Leonardo DiCaprio, Zendaya",United States,"December 07, 2010",2010,TV-Y7,153 min,Horror,A comedy that brilliantly captures the chaos and joy of modern family life.
s88,Movie,The Ghost Network,Wes Anderson,"Idris Elba, Denzel Washington, Natalie Portman, Ryan Gosling, Viola Davis",Philippines,"August 07, 2013",2013,NR,88 min,"International Movies, Romantic Movies",An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s89,Movie,A Beautiful Mind,Steven Spielberg,"Cate Blanchett, Zendaya, Idris Elba, Ryan Gosling",Italy,"January 10, 2010",2010,UR,116 min,"Anime Features, Independent Movies, Romantic Movies","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s90,Movie,Frozen in Time,Steven Spielberg,"Cate Blanchett, Zendaya, Ana de Armas",Philippines,"January 04, 2018",2018,R,158 min,Drama,A comedy that brilliantly captures the chaos and joy of modern family life.
s91,Movie,Broken Wings,Barry Jenkins,"Brad Pitt, Anthony Mackie, Tom Hanks, Viola Davis, Florence Pugh",United Kingdom,"December 28, 2017",2017,R,167 min,Comedy,"Based on true events, this documentary exposes the hidden world behind the headlines."
s92,Movie,Whispering Walls,Jordan Peele,"Leonardo DiCaprio, Tom Hanks",Mexico,"August 05, 2017",2017,TV-MA,163 min,Crime TV Shows,"In a dystopian future, one person dares to challenge the system and ignite a revolution."
s93,Movie,Broken Wings 3,Christopher Nolan,"Zendaya, Lupita Nyong'o, Idris Elba, Anthony Mackie",Indonesia,"February 13, 2017",2017,TV-Y7,101 min,Drama,A detective with a troubled past investigates a series of mysterious disappearances.
s94,Movie,Raw Power,Ryan Coogler,"Leonardo DiCaprio, Tom Hanks, Idris Elba, Viola Davis",,"November 17, 2010",2010,NC-17,141 min,"Stand-Up Comedy, Children & Family Movies","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s95,Movie,City of Lights,Park Chan-wook,"Florence Pugh, Ana de Armas, Ryan Gosling, Natalie Portman",Japan,"February 17, 2020",2020,TV-MA,132 min,Comedy,A comedy that brilliantly captures the chaos and joy of modern family life.
s96,Movie,The Silent House,Spike Lee,"Oscar Isaac, Meryl Streep, Idris Elba, Cate Blanchett",Sweden,"September 14, 2016",2016,G,146 min,"Drama, Reality TV",A detective with a troubled past investigates a series of mysterious disappearances.
s97,TV Show,Never Have I Ever,Ava DuVernay,"Ana de Armas, Lupita Nyong'o, Meryl Streep, Ryan Gosling, Leonardo DiCaprio",,"March 25, 2014",2014,G,6 Seasons,"Sports Movies, Reality TV","Based on true events, this documentary exposes the hidden world behind the headlines."
s98,TV Show,On My Block,Martin Scorsese,"Cate Blanchett, Denzel Washington, Ryan Gosling, Brad Pitt",South Korea,"May 15, 2002",2002,UR,7 Seasons,Children & Family Movies,An unlikely hero rises to face an impossible challenge in this action-packed adventure.
s99,Movie,The Silent House,Greta Gerwig,"Florence Pugh, Zendaya",United States,"January 15, 2008",2008,PG,65 min,"Sports Movies, Children & Family Movies",A comedy that brilliantly captures the chaos and joy of modern family life.
s100,TV Show,Never Have I Ever,,"Natalie Portman, Florence Pugh, Ana de Armas, Zendaya",Philippines,"March 22, 2014",2014,R,5 Seasons,"Comedy, Teen TV Shows","Set against the backdrop of history, a love story that transcends time and borders."
s101,TV Show,Peaky Blinders,Denis Villeneuve,"Meryl Streep, Viola Davis, Idris Elba, Florence Pugh, Brad Pitt",Nigeria,"September 16, 2015",2015,NC-17,5 Seasons,"Horror, Sports Movies, Comedy",A comedy that brilliantly captures the chaos and joy of modern family life.
s102,Movie,Desert Rain,David Fincher,"Ryan Gosling, Cate Blanchett, Viola Davis",Italy,"January 09, 2020",2020,NR,171 min,Romantic Movies,"Set against the backdrop of history, a love story that transcends time and borders."
s103,Movie,The Last Dance,Ryan Coogler,"Leonardo DiCaprio, Cate Blanchett, Oscar Isaac, Ana de Armas",Argentina,"April 13, 2018",2018,NR,96 min,"Sports Movies, Teen TV Shows",Five strangers are brought together by fate in a city that never sleeps.
s104,Movie,Parallel Lives,Taika Waititi,"Lupita Nyong'o, Anthony Mackie",Italy,"April 24, 2017",2017,G,134 min,"Science & Nature TV, International Movies, Horror","Love, loss, and redemption collide in this emotionally charged journey across three continents."
s105,Movie,Edge of Glory,Barry Jenkins,"Ryan Gosling, Anthony Mackie, Florence Pugh, Natalie Portman",Argentina,"March 05, 2020",2020,NR,173 min,"Comedy, Music & Musicals, Korean TV Shows","When secrets from the past resurface, a family must confront the truth before it destroys them."
s106,Movie,Dark Waters,Denis Villeneuve,"Natalie Portman, Meryl Streep, Ana de Armas",Turkey,"October 16, 2018",2018,TV-14,130 min,"Drama, Korean TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.
s107,Movie,Whispering Walls,Wes Anderson,"Viola Davis, Meryl Streep, Oscar Isaac, Ryan Gosling, Denzel Washington",Spain,"February 12, 2020",2020,NC-17,149 min,International Movies,"When secrets from the past resurface, a family must confront the truth before it destroys them."
s108,TV Show,Lupin,Bong Joon-ho,"Anthony Mackie, Brad Pitt, Ryan Gosling, Natalie Portman, Leonardo DiCaprio",United Kingdom,"June 19, 2018",2018,TV-Y7,1 Season,Romantic Movies,"Set against the backdrop of history, a love story that transcends time and borders."
s109,Movie,Fire & Ice,,,France,"February 10, 2020",2020,NR,168 min,"Teen TV Shows, Crime TV Shows","Based on true events, this documentary exposes the hidden world behind the headlines."
s110,Movie,The Phoenix Project,Bong Joon-ho,"Meryl Streep, Lupita Nyong'o, Brad Pitt, Cate Blanchett",Thailand,"June 01, 2022",2022,TV-Y7,105 min,"Reality TV, Science & Nature TV, Thrillers","Set against the backdrop of history, a love story that transcends time and borders."
s111,Movie,Raw Power,Kathryn Bigelow,"Denzel Washington, Tom Hanks",Indonesia,,2014,TV-Y7,157 min,"Documentaries, Horror","When secrets from the past resurface, a family must confront the truth before it destroys them."
s112,Movie,The Last Dance 2,Denis Villeneuve,"Leonardo DiCaprio, Meryl Streep",Thailand,"July 13, 2001",2001,TV-Y7,133 min,"Thrillers, Reality TV, Korean TV Shows","In a dystopian future, one person dares to challenge the system and ignite a revolution."
s113,Movie,Quantum Leap,Spike Lee,"Ryan Gosling, Brad Pitt, Tom Hanks, Natalie Portman, Meryl Streep",Indonesia,"February 05, 2011",2011,TV-14,139 min,"Crime TV Shows, Sports Movies",Five strangers are brought together by fate in a city that never sleeps.
s114,TV Show,The Circle,Park Chan-wook,"Zendaya, Viola Davis, Lupita Nyong'o",Mexico,"May 24, 2022",2022,TV-Y7,4 Seasons,"Reality TV, Anime Features","Based on true events, this documentary exposes the hidden world behind the headlines."
s115,TV Show,Locke & Key,Guillermo del Toro,"Leonardo DiCaprio, Ana de Armas, Natalie Portman",Brazil,"July 22, 2020",2020,PG,4 Seasons,"Horror, Science & Nature TV","Based on true events, this documentary exposes the hidden world behind the headlines."
s116,TV Show,Cobra Kai,David Fincher,"Meryl Streep, Anthony Mackie, Viola Davis, Ana de Armas, Ryan Gosling",Canada,"March 21, 2019",2019,TV-MA,6 Seasons,"Documentaries, Drama","When secrets from the past resurface, a family must confront the truth before it destroys them."
