show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,added_year,added_month,added_month_name,duration_minutes,duration_seasons,genre_count,primary_genre,content_age_years,content_age_group,audience_segment
s41,Movie,The Forgotten Path,Guillermo del Toro,"Oscar Isaac, Lupita Nyong'o, Viola Davis, Cate Blanchett, Ana de Armas",Nigeria,"July 13, 2016",2016,NR,64 min,Music & Musicals,"Set against the backdrop of history, a love story that transcends time and borders.",2016,7,Jul,64,,1,Music & Musicals,7,Moderate (6-10y),Unrated
s42,Movie,The Iron Curtain 4,Greta Gerwig,"Leonardo DiCaprio, Ana de Armas, Denzel Washington, Brad Pitt, Idris Elba",Unknown,"December 13, 2014",2014,NC-17,108 min,"Independent Movies, Teen TV Shows","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2014,12,Dec,108,,2,Independent Movies,9,Moderate (6-10y),Adults
s43,Movie,The Silent House,Jordan Peele,"Denzel Washington, Brad Pitt, Meryl Streep",Canada,"January 02, 2014",2014,NR,107 min,"Horror, Children & Family Movies",A comedy that brilliantly captures the chaos and joy of modern family life.,2014,1,Jan,107,,2,Horror,9,Moderate (6-10y),Unrated
s44,Movie,Whispering Walls 4,Spike Lee,"Anthony Mackie, Zendaya",Denmark,"August 09, 2018",2018,TV-G,129 min,Action & Adventure,An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2018,8,Aug,129,,1,Action & Adventure,5,Recent (3-5y),Family
s45,TV Show,Cobra Kai,Denis Villeneuve,"Oscar Isaac, Florence Pugh, Tom Hanks, Cate Blanchett",Canada,"May 23, 2015",2015,TV-14,5 Seasons,British TV Shows,"A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2015,5,May,,5,1,British TV Shows,8,Moderate (6-10y),Teens
s46,TV Show,Outer Banks,Jordan Peele,"Ana de Armas, Cate Blanchett, Idris Elba",Philippines,Not Available,2018,PG-13,1 Season,"Stand-Up Comedy, Horror, Action & Adventure",A detective with a troubled past investigates a series of mysterious disappearances.,,,,,1,3,Stand-Up Comedy,5,Recent (3-5y),Teens
s47,Movie,Ocean's Edge 4,Guillermo del Toro,"Ryan Gosling, Florence Pugh, Denzel Washington, Tom Hanks",Brazil,"August 03, 2020",2020,TV-Y,146 min,"Teen TV Shows, Stand-Up Comedy","When secrets from the past resurface, a family must confront the truth before it destroys them.",2020,8,Aug,146,,2,Teen TV Shows,3,Recent (3-5y),Kids
s48,Movie,Ocean's Edge,Taika Waititi,"Ryan Gosling, Zendaya, Brad Pitt, Idris Elba",South Korea,"September 11, 2021",2021,TV-14,141 min,"International Movies, Science & Nature TV","When secrets from the past resurface, a family must confront the truth before it destroys them.",2021,9,Sep,141,,2,International Movies,2,Very Recent (0-2y),Teens
s49,TV Show,The Crown,Barry Jenkins,"Cate Blanchett, Lupita Nyong'o",Turkey,"September 14, 2019",2019,NR,7 Seasons,"Documentaries, Independent Movies, Science & Nature TV",A detective with a troubled past investigates a series of mysterious disappearances.,2019,9,Sep,,7,3,Documentaries,4,Recent (3-5y),Unrated
s50,Movie,Desert Rain 2,Kathryn Bigelow,"Cate Blanchett, Idris Elba, Viola Davis, Ryan Gosling",India,"August 03, 2022",2022,R,160 min,"Children & Family Movies, Horror","Set against the backdrop of history, a love story that transcends time and borders.",2022,8,Aug,160,,2,Children & Family Movies,1,Very Recent (0-2y),Adults
s51,TV Show,Squid Game,Sofia Coppola,"Natalie Portman, Viola Davis, Anthony Mackie",United States,"September 09, 2022",2022,PG-13,1 Season,Drama,Five strangers are brought together by fate in a city that never sleeps.,2022,9,Sep,,1,1,Drama,1,Very Recent (0-2y),Teens
s52,Movie,Northern Lights,Spike Lee,"Meryl Streep, Denzel Washington, Ana de Armas, Brad Pitt",Argentina,"February 15, 2017",2017,TV-Y,160 min,"Music & Musicals, International Movies, Sports Movies","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2017,2,Feb,160,,3,Music & Musicals,6,Moderate (6-10y),Kids
s53,Movie,Hollow Ground,Unknown,"Lupita Nyong'o, Ana de Armas",Unknown,"March 09, 2010",2010,TV-14,101 min,"Korean TV Shows, Music & Musicals",A detective with a troubled past investigates a series of mysterious disappearances.,2010,3,Mar,101,,2,Korean TV Shows,13,Classic (11-20y),Teens
s54,Movie,Parallel Lives,Unknown,"Brad Pitt, Lupita Nyong'o",Mexico,"February 11, 2016",2016,TV-Y7,79 min,"Independent Movies, Action & Adventure, British TV Shows","When secrets from the past resurface, a family must confront the truth before it destroys them.",2016,2,Feb,79,,3,Independent Movies,7,Moderate (6-10y),Kids
s55,Movie,Desert Rain,Martin Scorsese,"Idris Elba, Lupita Nyong'o",Philippines,"December 02, 2021",2021,TV-Y7,73 min,"Music & Musicals, Romantic Movies, Horror",An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2021,12,Dec,73,,3,Music & Musicals,2,Very Recent (0-2y),Kids
s56,Movie,The Ghost Network,Chloe Zhao,"Ryan Gosling, Zendaya",Norway,Not Available,2018,TV-14,94 min,"International Movies, Crime TV Shows, Stand-Up Comedy","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",,,,94,,3,International Movies,5,Recent (3-5y),Teens
s57,Movie,Desert Rain,Bong Joon-ho,"Leonardo DiCaprio, Meryl Streep, Ana de Armas",Turkey,"June 25, 2014",2014,TV-Y,66 min,Thrillers,"Set against the backdrop of history, a love story that transcends time and borders.",2014,6,Jun,66,,1,Thrillers,9,Moderate (6-10y),Kids
s58,Movie,Quantum Leap 2,Denis Villeneuve,"Oscar Isaac, Brad Pitt, Tom Hanks, Cate Blanchett, Ryan Gosling",Brazil,Not Available,2017,TV-14,60 min,International Movies,"Love, loss, and redemption collide in this emotionally charged journey across three continents.",,,,60,,1,International Movies,6,Moderate (6-10y),Teens
s59,TV Show,Cobra Kai,Greta Gerwig,"Lupita Nyong'o, Ana de Armas",Norway,"November 26, 2017",2017,TV-PG,1 Season,"Drama, Sports Movies","When secrets from the past resurface, a family must confront the truth before it destroys them.",2017,11,Nov,,1,2,Drama,6,Moderate (6-10y),Family
s60,Movie,Quantum Leap,Unknown,"Zendaya, Meryl Streep, Brad Pitt, Leonardo DiCaprio, Viola Davis",Turkey,"February 08, 2007",2007,TV-Y,110 min,"Crime TV Shows, Children & Family Movies",Five strangers are brought together by fate in a city that never sleeps.,2007,2,Feb,110,,2,Crime TV Shows,16,Classic (11-20y),Kids
s61,Movie,Beyond the Horizon,Wes Anderson,"Ana de Armas, Viola Davis, Lupita Nyong'o",France,"March 20, 2013",2013,PG-13,158 min,"Independent Movies, Sports Movies, British TV Shows","Set against the backdrop of history, a love story that transcends time and borders.",2013,3,Mar,158,,3,Independent Movies,10,Moderate (6-10y),Teens
s62,TV Show,Bridgerton,Unknown,"Tom Hanks, Natalie Portman, Meryl Streep, Oscar Isaac",Spain,"May 15, 2017",2017,TV-Y,6 Seasons,"Action & Adventure, Korean TV Shows","Set against the backdrop of history, a love story that transcends time and borders.",2017,5,May,,6,2,Action & Adventure,6,Moderate (6-10y),Kids
s63,Movie,Crimson Peak,Ava DuVernay,"Brad Pitt, Viola Davis, Zendaya, Natalie Portman, Ryan Gosling",Unknown,"February 17, 2022",2022,TV-Y,116 min,"Music & Musicals, Korean TV Shows","Set against the backdrop of history, a love story that transcends time and borders.",2022,2,Feb,116,,2,Music & Musicals,1,Very Recent (0-2y),Kids
s64,Movie,The Iron Curtain,Denis Villeneuve,"Meryl Streep, Anthony Mackie, Idris Elba, Florence Pugh",Norway,"November 20, 2013",2013,NC-17,144 min,Stand-Up Comedy,A detective with a troubled past investigates a series of mysterious disappearances.,2013,11,Nov,144,,1,Stand-Up Comedy,10,Moderate (6-10y),Adults
s65,Movie,Code Red,Park Chan-wook,"Zendaya, Ryan Gosling",France,"September 03, 2022",2022,NR,62 min,"International Movies, Thrillers","Love, loss, and redemption collide in this emotionally charged journey across three continents.",2022,9,Sep,62,,2,International Movies,1,Very Recent (0-2y),Unrated
s66,TV Show,Shadow and Bone,Martin Scorsese,"Denzel Washington, Tom Hanks, Florence Pugh",Norway,"June 25, 2004",2004,TV-PG,3 Seasons,Thrillers,"Set against the backdrop of history, a love story that transcends time and borders.",2004,6,Jun,,3,1,Thrillers,19,Classic (11-20y),Family
s67,Movie,Paper Trail 3,Denis Villeneuve,"Natalie Portman, Lupita Nyong'o, Zendaya, Tom Hanks",South Korea,"August 27, 2022",2022,NC-17,158 min,"Reality TV, Music & Musicals",A comedy that brilliantly captures the chaos and joy of modern family life.,2022,8,Aug,158,,2,Reality TV,1,Very Recent (0-2y),Adults
s68,Movie,The Ghost Network,Park Chan-wook,"Ryan Gosling, Leonardo DiCaprio, Idris Elba",Canada,"May 03, 2020",2020,TV-PG,125 min,Science & Nature TV,"When secrets from the past resurface, a family must confront the truth before it destroys them.",2020,5,May,125,,1,Science & Nature TV,3,Recent (3-5y),Family
s69,Movie,The Iron Curtain 2,Chloe Zhao,"Florence Pugh, Leonardo DiCaprio",Australia,"June 04, 2012",2012,TV-Y,64 min,"Independent Movies, Horror",An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2012,6,Jun,64,,2,Independent Movies,11,Classic (11-20y),Kids
s70,Movie,Northern Lights,Unknown,"Brad Pitt, Florence Pugh, Denzel Washington, Ryan Gosling",Nigeria,"February 02, 2012",2012,NC-17,74 min,"Korean TV Shows, Teen TV Shows","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2012,2,Feb,74,,2,Korean TV Shows,11,Classic (11-20y),Adults
s71,Movie,The Redemption Arc,Jordan Peele,"Leonardo DiCaprio, Zendaya, Viola Davis, Cate Blanchett, Oscar Isaac",United Kingdom,"September 18, 2006",2006,TV-Y,109 min,"Comedy, Reality TV",Five strangers are brought together by fate in a city that never sleeps.,2006,9,Sep,109,,2,Comedy,17,Classic (11-20y),Kids
s72,Movie,Whispering Walls 3,Chloe Zhao,"Cate Blanchett, Anthony Mackie, Zendaya",India,"March 27, 2020",2020,TV-Y,140 min,Horror,"When secrets from the past resurface, a family must confront the truth before it destroys them.",2020,3,Mar,140,,1,Horror,3,Recent (3-5y),Kids
s73,TV Show,You,Unknown,"Meryl Streep, Anthony Mackie, Cate Blanchett",Brazil,"January 25, 2016",2016,TV-PG,6 Seasons,Crime TV Shows,A detective with a troubled past investigates a series of mysterious disappearances.,2016,1,Jan,,6,1,Crime TV Shows,7,Moderate (6-10y),Family
s74,Movie,Broken Wings,Taika Waititi,"Idris Elba, Denzel Washington, Natalie Portman, Ana de Armas, Florence Pugh",Spain,"July 20, 2016",2016,NR,101 min,Action & Adventure,Five strangers are brought together by fate in a city that never sleeps.,2016,7,Jul,101,,1,Action & Adventure,7,Moderate (6-10y),Unrated
s75,Movie,Quantum Leap,Denis Villeneuve,Unknown,Italy,"January 03, 2013",2013,TV-Y7,162 min,"Thrillers, Drama, Horror","Set against the backdrop of history, a love story that transcends time and borders.",2013,1,Jan,162,,3,Thrillers,10,Moderate (6-10y),Kids
s76,Movie,Velvet Underground,Kathryn Bigelow,"Ana de Armas, Brad Pitt, Zendaya, Leonardo DiCaprio",Italy,"March 17, 2007",2007,UR,91 min,Drama,"In a dystopian future, one person dares to challenge the system and ignite a revolution.",2007,3,Mar,91,,1,Drama,16,Classic (11-20y),Unrated
s77,Movie,Velvet Underground,Steven Spielberg,"Oscar Isaac, Cate Blanchett, Zendaya, Tom Hanks",Japan,"December 15, 2016",2016,PG,150 min,Teen TV Shows,A comedy that brilliantly captures the chaos and joy of modern family life.,2016,12,Dec,150,,1,Teen TV Shows,7,Moderate (6-10y),Family
s78,Movie,The Last Dance,Unknown,"Ana de Armas, Ryan Gosling, Cate Blanchett",France,"September 19, 2003",2003,TV-G,173 min,Action & Adventure,A detective with a troubled past investigates a series of mysterious disappearances.,2003,9,Sep,173,,1,Action & Adventure,20,Classic (11-20y),Family
s79,TV Show,Emily in Paris,Denis Villeneuve,"Denzel Washington, Lupita Nyong'o, Viola Davis, Idris Elba, Meryl Streep",Italy,"October 06, 2017",2017,UR,7 Seasons,"Comedy, Documentaries, Music & Musicals","In a dystopian future, one person dares to challenge the system and ignite a revolution.",2017,10,Oct,,7,3,Comedy,6,Moderate (6-10y),Unrated
s80,Movie,Hollow Ground 2,Kathryn Bigelow,"Zendaya, Florence Pugh, Meryl Streep, Tom Hanks",Spain,"February 17, 2018",2018,NC-17,81 min,"Korean TV Shows, Crime TV Shows, Comedy","A gripping tale of power, betrayal, and survival in a world where nothing is as it seems.",2018,2,Feb,81,,3,Korean TV Shows,5,Recent (3-5y),Adults
s81,TV Show,Ozark,Steven Spielberg,Unknown,Norway,"November 13, 2016",2016,NC-17,1 Season,Sports Movies,"Based on true events, this documentary exposes the hidden world behind the headlines.",2016,11,Nov,,1,1,Sports Movies,7,Moderate (6-10y),Adults
s82,Movie,Shattered Mirror 4,Ryan Coogler,"Ana de Armas, Brad Pitt, Denzel Washington, Anthony Mackie",Mexico,"April 05, 2013",2013,PG,113 min,Thrillers,Five strangers are brought together by fate in a city that never sleeps.,2013,4,Apr,113,,1,Thrillers,10,Moderate (6-10y),Family
s83,TV Show,Ginny & Georgia,Spike Lee,"Oscar Isaac, Natalie Portman, Tom Hanks, Lupita Nyong'o, Leonardo DiCaprio",Turkey,"January 02, 2018",2018,R,5 Seasons,"Drama, Documentaries, Science & Nature TV","In a dystopian future, one person dares to challenge the system and ignite a revolution.",2018,1,Jan,,5,3,Drama,5,Recent (3-5y),Adults
s84,TV Show,Squid Game,Chloe Zhao,"Anthony Mackie, Leonardo DiCaprio",Norway,"September 09, 2017",2017,TV-Y7,3 Seasons,Reality TV,Five strangers are brought together by fate in a city that never sleeps.,2017,9,Sep,,3,1,Reality TV,6,Moderate (6-10y),Kids
s85,Movie,Northern Lights,Martin Scorsese,Unknown,Mexico,"October 17, 2016",2016,TV-PG,110 min,"International Movies, British TV Shows, Crime TV Shows",A comedy that brilliantly captures the chaos and joy of modern family life.,2016,10,Oct,110,,3,International Movies,7,Moderate (6-10y),Family
s86,Movie,Hollow Ground,Jordan Peele,"Leonardo DiCaprio, Viola Davis, Oscar Isaac, Idris Elba, Meryl Streep",Indonesia,"November 26, 2016",2016,PG-13,152 min,British TV Shows,An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2016,11,Nov,152,,1,British TV Shows,7,Moderate (6-10y),Teens
s87,Movie,Northern Lights 4,David Fincher,"Natalie Portman, Leonardo DiCaprio, Zendaya",United States,"December 07, 2010",2010,TV-Y7,153 min,Horror,A comedy that brilliantly captures the chaos and joy of modern family life.,2010,12,Dec,153,,1,Horror,13,Classic (11-20y),Kids
s88,Movie,The Ghost Network,Wes Anderson,"Idris Elba, Denzel Washington, Natalie Portman, Ryan Gosling, Viola Davis",Philippines,"August 07, 2013",2013,NR,88 min,"International Movies, Romantic Movies",An unlikely hero rises to face an impossible challenge in this action-packed adventure.,2013,8,Aug,88,,2,International Movies,10,Moderate (6-10y),Unrated
